kowiki: 418025
cultura ko: 4496856
cultura en: 4427949
txt data : 176283, en txt data : 168329, ko txt data : 7954
418025
4496856
4922835
total ko data : 4922835, current en data : 168329, (ko - current en) data : 4754506
when 90% en data, cul en size should be 44137186
when 80% en data, cul en size should be 19523011
when 70% en data, cul en size should be 11318285
when 60% en data, cul en size should be 7215923
when 50% en data, cul en size should be 4754506
kowiki: 418025
cultura ko: 4496856
cultura en: 4427949
txt data : 176283, en txt data : 168329, ko txt data : 7954
418025
4496856
4922835
total ko data : 4922835, current en data : 168329, (ko - current en) data : 4754506
when 90% en data, cul en size should be 44137186
when 80% en data, cul en size should be 19523011
when 70% en data, cul en size should be 11318285
when 60% en data, cul en size should be 7215923
when 50% en data, cul en size should be 4754506
kowiki: 418025
cultura ko: 4496856
cultura en: 4427949
txt data : 176283, en txt data : 168329, ko txt data : 7954
418025
4496856
4922835
total ko data : 4922835, current en data : 168329, (ko - current en) data : 4754506
when 90% en data, cul en size should be 44137186
when 80% en data, cul en size should be 19523011
when 70% en data, cul en size should be 11318285
when 60% en data, cul en size should be 7215923
when 50% en data, cul en size should be 4754506
kowiki: 418025
cultura ko: 4496856
cultura en: 4427949
txt data : 176283, en txt data : 168329, ko txt data : 7954
418025
4496856
4922835
total ko data : 4922835, current en data : 168329, (ko - current en) data : 4754506
when 90% en data, cul en size should be 44137186
when 80% en data, cul en size should be 19523011
when 70% en data, cul en size should be 11318285
when 60% en data, cul en size should be 7215923
when 50% en data, cul en size should be 4754506
{'loss': 28.2325, 'grad_norm': 49.435890197753906, 'learning_rate': 2.0313642642398634e-09, 'epoch': 0.0}
{'loss': 28.3624, 'grad_norm': 49.746158599853516, 'learning_rate': 4.062728528479727e-09, 'epoch': 0.0}
{'loss': 28.3766, 'grad_norm': 49.577178955078125, 'learning_rate': 6.094092792719591e-09, 'epoch': 0.0}
{'loss': 28.1923, 'grad_norm': 49.71050262451172, 'learning_rate': 8.125457056959454e-09, 'epoch': 0.0}
{'loss': 28.3555, 'grad_norm': 49.04884719848633, 'learning_rate': 1.0156821321199318e-08, 'epoch': 0.0}
{'loss': 28.2388, 'grad_norm': 49.56367492675781, 'learning_rate': 1.2188185585439182e-08, 'epoch': 0.0}
{'loss': 28.3753, 'grad_norm': 50.05238342285156, 'learning_rate': 1.4219549849679045e-08, 'epoch': 0.0}
{'loss': 28.2671, 'grad_norm': 49.993106842041016, 'learning_rate': 1.6250914113918907e-08, 'epoch': 0.0}
{'loss': 28.1811, 'grad_norm': 49.888526916503906, 'learning_rate': 1.8282278378158773e-08, 'epoch': 0.0}
{'loss': 28.1865, 'grad_norm': 49.290645599365234, 'learning_rate': 2.0313642642398636e-08, 'epoch': 0.0}
{'loss': 28.2532, 'grad_norm': 49.7353401184082, 'learning_rate': 2.2345006906638498e-08, 'epoch': 0.0}
{'loss': 28.3543, 'grad_norm': 49.49357223510742, 'learning_rate': 2.4376371170878364e-08, 'epoch': 0.0}
{'loss': 28.3699, 'grad_norm': 49.84545135498047, 'learning_rate': 2.640773543511823e-08, 'epoch': 0.0}
{'loss': 28.2165, 'grad_norm': 50.069427490234375, 'learning_rate': 2.843909969935809e-08, 'epoch': 0.0}
{'loss': 28.1942, 'grad_norm': 49.789642333984375, 'learning_rate': 3.0470463963597955e-08, 'epoch': 0.0}
{'loss': 28.3116, 'grad_norm': 49.90669631958008, 'learning_rate': 3.2501828227837814e-08, 'epoch': 0.0}
{'loss': 28.2106, 'grad_norm': 49.73078155517578, 'learning_rate': 3.453319249207768e-08, 'epoch': 0.0}
{'loss': 28.375, 'grad_norm': 49.04832458496094, 'learning_rate': 3.6564556756317546e-08, 'epoch': 0.0}
{'loss': 28.2342, 'grad_norm': 49.753387451171875, 'learning_rate': 3.8595921020557405e-08, 'epoch': 0.0}
{'loss': 28.1903, 'grad_norm': 49.5157470703125, 'learning_rate': 4.062728528479727e-08, 'epoch': 0.0}
{'loss': 28.2721, 'grad_norm': 49.3941535949707, 'learning_rate': 4.265864954903714e-08, 'epoch': 0.0}
